LOG_AR_I_(1),LOG_AR_I_(2),LOG_AR_I_(3),LOG_AR_I_(4),LOG_mu_(I),LOG_loglik_I,LOG_logpost_I,LOG_MA_I,LOG_measerr_scale_I,LOG_sigma_I,LOG_VAR_I,LOG_L_UV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
0.498196683432719,0.629351784582067,1.12886025933224,-1.45796360354325,1.28801288456832,2.12461123750517,2.12461123750517,-45.3204650641175,0.056166712856095,-1.00488743616528,-1.93960579984213,43.4487063199051,44.69916,44.65749,43.46676,42.96205,42.07596,41.86849
-0.018935118337439,0.10241668566955,-1.3503271800102,-3.63618869910707,1.29482537757095,2.02371780606597,2.02371780606597,-12.4467209079034,0.137230537172827,-3.58957712889665,-1.93398134984883,45.3031960574205,44.88584,45.15750,42.78628,43.15557,42.64170,42.36900
-0.368670613845206,-0.636725376348708,-2.52975071370871,-4.97864248235029,1.3023003964428,2.07683212977238,2.07683212977238,-48.1434901755118,-0.008147131392212,-4.35120588823705,-1.55649109456424,45.9132839017604,44.43886,44.86974,43.07690,42.93223,42.35470,42.20851
0.089107365465619,0.035978533209248,-0.866900279622504,-3.3856981364344,1.29731702022785,2.02433808622845,2.02433808622845,-40.8880655203578,0.010561620931614,-2.84574611259512,-1.75144680268185,44.2201080880401,44.10607,45.20451,42.46310,43.45330,41.79072,41.59024
0.381785959655393,0.625164639704599,0.5322969129618,-1.92064031082123,1.26760245572902,2.13930728110619,2.13930728110619,-14.3946116634146,-0.013957145876207,-1.51511021656498,-1.96589398403017,44.862131379313,44.28278,44.41496,42.56917,42.80388,42.43821,42.14885
0.142121207460087,0.170326289482177,-0.74448102651477,-3.32456120095545,1.29425145107689,2.10635252256223,2.10635252256223,-38.7306397642107,0.123236796149664,-2.79672584004321,-1.86579295735455,45.0718820073061,45.03406,44.07756,42.51944,42.61017,41.49444,41.85274
0.164709511183095,0.480489241898865,0.447024340785432,-1.97391306877035,1.29180280075161,1.97540980968702,1.97540980968702,-12.4876606073623,0.08977024488877,-1.49897691990649,-1.82297805463832,44.2504200023089,44.28599,44.46839,42.79810,42.98336,41.62131,41.22986
-0.227532574841563,-0.504626902294569,-2.28928530634827,-4.79289081135654,1.27128855069332,2.21477243278705,2.21477243278705,-40.3065136971441,0.109699699588652,-4.30877071040985,-1.88285447280563,45.1958996524092,44.51935,44.94597,42.05927,43.26494,42.24820,42.19560
-0.180369241343672,-0.72846319782279,-2.74972165468633,-5.45339150888078,1.302970364226,2.03205217793435,2.03205217793435,-39.6203817998757,-0.001007765833891,-4.5601963585428,-1.21406516464713,45.3159703454569,44.25256,44.97579,43.25239,43.38464,42.40217,41.26026
-0.3408084830167,-0.563807389460153,-2.15317552442881,-4.26057060665371,1.29277423335622,2.02694992337789,2.02694992337789,-18.6095029380598,0.113009524179332,-4.36682149971767,-2.11669715238844,45.170261715395,44.13888,45.31695,42.20292,42.59487,41.99311,41.90872
-0.092568046673284,-0.607228137814317,-2.58269684899248,-4.26057060665371,1.23718678054656,2.28251795741316,2.28251795741316,-47.8874220437733,0.002483815456114,-4.6572976872916,-1.80708418407609,45.0492180226702,44.97359,44.42739,44.17511,42.63465,41.82681,41.46316
-0.692814333496829,-1.01467477976964,-3.01890953190466,-5.25231418966739,1.29739059279417,2.0887879824375,2.0887879824375,-22.359573195505,0.051885992220077,-4.93420013106385,-1.80893684721307,44.9703468762301,44.90593,44.67777,42.71012,42.81970,42.10764,42.01054
-0.563559041962027,0.139273947659606,-0.961020487194173,-5.34701107866639,1.29948817323823,1.90135375902569,1.90135375902569,23.2290369508254,0.039310437007479,-24.5643700986956,-2.03479151103638,44.8438554226232,45.67979,44.66881,42.68983,42.33877,42.00149,41.62996
-0.190749452563622,-0.110395164899254,-1.53666926256762,-2.93065600810739,1.29049702082288,2.05368580830261,2.05368580830261,-28.3859165945993,0.158862387567277,-3.34448720252077,-1.77649190219935,44.6138418218761,44.45743,43.97203,42.50119,43.42820,41.47306,41.89955
-0.091782837391535,-0.176801884516397,-1.593358996716,-3.7733679355723,1.2952076994403,2.09371242175049,2.09371242175049,-51.1963493849353,-0.006160175800106,-3.49921804353175,-1.80939751098936,45.6222140229663,44.54183,45.32038,42.85803,42.99291,42.42153,41.72696
-1.08095401216945,0.636245780509429,-1.13333801792058,-3.86351596132753,1.29573464429576,2.01420203359746,2.01420203359746,24.4729578762528,0.053039781271326,-25.7566142891432,-1.91784685194499,44.4487063199051,44.59501,44.90722,43.04988,43.95267,42.32945,41.63567
-0.014180099684864,-0.157719742002764,-1.65792466193807,-3.22559679477308,1.30072644927398,1.96886317788758,1.96886317788758,-5.66098086236913,0.045835761867045,-4.28224339496892,-1.94392741859649,45.4668676203541,44.69004,46.03777,42.98457,43.00252,41.22119,41.03894
0.340488220071581,0.410970150652935,0.734587880505936,-3.804195322538,1.25036896202015,2.15128650557452,2.15531126514494,-18.6797143996196,0.065152991108878,-1.4929871807147,-2.11972745339816,44.9041743682842,44.78482,44.68607,42.53414,42.81552,41.89582,41.86565
-0.044238760309563,0.581877224384004,-0.485770088666954,-1.86894497695451,1.29255046909907,2.07746143413933,2.07746143413933,-25.8550741328174,0.085835677541223,-2.31330589713505,-1.55905139966035,44.8481891169914,45.22008,44.85840,42.60624,42.91650,41.85748,41.63610
