LOG_AR_U_(1),LOG_AR_U_(2),LOG_AR_U_(3),LOG_AR_U_(4),LOG_mu(U),LOG_loglik_U,LOG_Logpost_U,log_MA_U,log_measerr_scale_U,LOG_SIGMA_U,LOG_var_U,LOG_L_UV,L_5100,L_3000,L_H_beta,MG_II,0II_5007,OIII_4959
-0.814867419143472,-1.35397166459687,-3.39427276230466,-5.70099897143299,1.30499853451507,1.78826105968577,1.78826105968577,-42.4141940483498,0.021276182661815,-5.3404952028038,-1.42435022629118,45.3031960574205,44.88584,45.15750,42.78628,43.15557,42.64170,42.36900
-0.404502434102323,-0.633032992581339,-2.43346204938201,-4.50865597754323,1.30951897024472,1.74423839944884,1.74423839944884,-16.5672947830167,0.044483324716321,-4.03447081451638,-1.00190869549974,45.9132839017604,44.43886,44.86974,43.07690,42.93223,42.35470,42.20851
-0.130602590935242,0.686067008930959,0.359794428011894,-2.11080645291186,1.27859032131467,2.05663646637648,2.05663646637648,-14.7217908449831,0.006701556902103,-1.51741225306712,-1.57957683204981,44.2201080880401,44.10607,45.20451,42.46310,43.45330,41.79072,41.59024
-0.18758994002021,-0.540237264544747,-1.9025621058644,-4.44029334791406,1.30045510895197,1.6812163888932,1.6812163888932,-35.630898970462,0.258488016620402,-3.97202676033916,-1.64902629557578,44.862131379313,44.28278,44.41496,42.56917,42.80388,42.43821,42.14885
-0.054809404937839,0.190988883138557,-1.33756576581878,-3.44347289100407,1.30408742485782,1.81378668842504,1.81378668842504,-15.751585835345,0.078844028429795,-3.60513220551218,-1.39246913167253,45.0718820073061,45.03406,44.07756,42.51944,42.61017,41.49444,41.85274
-0.416186154998468,-0.2807280318306,-1.9795628599671,-1.9795628599671,1.27940538062556,2.05473414906869,2.05473414906869,-9.71766522958515,0.124954881834197,-3.81243984208006,-1.50592535419517,44.2504200023089,44.28599,44.46839,42.79810,42.98336,41.62131,41.22986
-0.056717965511947,-0.06393798991872,-1.5107878940494,-3.82646810667454,1.30628425360418,1.81216317919882,1.81216317919882,-11.5981687860691,0.028209689301578,-3.1139591636231,-1.23221711061776,45.1958996524092,44.51935,44.94597,42.05927,43.26494,42.24820,42.19560
-0.436215685900148,-0.874319322305145,-2.75194071239105,-5.15376190643597,1.30597742555224,1.8068750596758,1.8068750596758,-34.8303129033828,0.068994543539663,-4.5666701587703,-1.48741745082415,45.3159703454569,44.25256,44.97579,43.25239,43.38464,42.40217,41.26026
-0.385313450031835,-1.1494552266063,-3.05600993015164,-5.26365995681657,1.303395481669,1.97214769855293,1.97214769855293,-41.0574190974269,0.04094300826276,-5.28590535610846,-1.56617084389302,45.170261715395,44.13888,45.31695,42.20292,42.59487,41.99311,41.90872
-0.264971072294629,-0.474887530777311,-2.24406431456728,-4.41248545402016,1.3007722830101,1.89676877163563,1.89676877163563,-6.89525225824097,0.029244389261861,-4.00210072642768,-1.42542267242177,45.0492180226702,44.97359,44.42739,44.17511,42.63465,41.82681,41.46316
